,Activation/Repression,Gene A,Gene B,delta
0,1,1,2,0
1,2,1,9,0
2,2,1,17,0
3,1,2,3,0
4,2,2,9,0
5,2,3,49,0
6,2,4,5,0
7,2,4,42,0
8,2,5,6,0
9,2,5,9,0
10,2,5,17,0
11,1,5,42,0
12,1,6,7,0
13,2,6,8,0
14,2,6,17,0
15,2,6,28,0
16,2,6,42,0
17,2,7,8,0
18,2,7,16,0
19,2,7,28,0
20,2,7,44,0
21,2,8,10,0
22,2,8,11,0
23,2,8,14,0
24,2,8,16,0
25,2,8,18,0
26,2,8,19,0
27,2,8,28,0
28,2,9,17,0
29,1,10,11,0
30,2,10,12,0
31,2,10,13,0
32,2,10,14,0
33,2,10,17,0
34,2,10,18,0
35,2,11,12,0
36,2,11,18,0
37,2,12,13,0
38,2,12,14,0
39,2,12,18,0
40,2,13,14,0
41,2,13,15,0
42,2,13,16,0
43,2,13,18,0
44,2,13,32,0
45,1,14,15,0
46,2,14,16,0
47,2,14,18,0
48,1,14,32,0
49,2,14,36,0
50,2,15,16,0
51,2,15,32,0
52,2,15,36,0
53,2,15,37,0
54,2,16,17,0
55,2,16,18,0
56,2,16,32,0
57,2,16,33,0
58,2,16,37,0
59,2,18,19,0
60,2,19,20,0
61,2,19,43,0
62,2,20,21,0
63,2,20,43,0
64,2,21,22,0
65,2,22,27,0
66,2,22,28,0
67,2,22,29,0
68,2,23,24,0
69,2,23,25,0
70,2,23,26,0
71,2,23,27,0
72,2,23,30,0
73,2,23,31,0
74,2,23,39,0
75,2,24,25,0
76,2,24,31,0
77,2,24,39,0
78,2,25,26,0
79,2,25,31,0
80,2,26,27,0
81,2,26,30,0
82,2,26,31,0
83,2,26,32,0
84,2,27,30,0
85,2,28,29,0
86,2,29,85,0
87,2,30,31,0
88,2,30,32,0
89,2,30,33,0
90,2,32,36,0
91,2,32,85,0
92,2,33,36,0
93,2,35,36,0
94,2,35,79,0
95,2,35,82,0
96,2,36,37,0
97,2,37,38,0
98,2,39,40,0
99,2,39,41,0
100,2,39,47,0
101,2,40,41,0
102,2,40,46,0
103,2,40,48,0
104,2,43,44,0
105,1,44,45,0
106,1,45,46,0
107,2,47,48,0
108,1,50,51,0
109,2,50,52,0
110,1,50,59,0
111,2,50,67,0
112,2,51,52,0
113,2,51,59,0
114,2,51,67,0
115,1,52,53,0
116,2,53,93,0
117,2,53,99,0
118,2,54,55,0
119,2,54,92,0
120,2,55,56,0
121,2,55,59,0
122,2,55,67,0
123,1,55,92,0
124,1,56,57,0
125,2,56,58,0
126,2,56,67,0
127,2,56,78,0
128,2,56,92,0
129,2,57,58,0
130,2,57,66,0
131,2,57,78,0
132,2,57,94,0
133,2,58,60,0
134,2,58,61,0
135,2,58,64,0
136,2,58,66,0
137,2,58,68,0
138,2,58,69,0
139,2,58,78,0
140,2,59,67,0
141,2,60,61,0
142,2,60,62,0
143,2,60,64,0
144,2,60,67,0
145,2,60,68,0
146,2,61,62,0
147,2,61,68,0
148,2,62,63,0
149,2,62,68,0
150,2,63,64,0
151,2,63,65,0
152,2,63,66,0
153,2,63,68,0
154,2,63,82,0
155,1,64,65,0
156,2,64,66,0
157,2,64,68,0
158,1,64,82,0
159,2,64,86,0
160,2,65,66,0
161,2,65,82,0
162,2,65,86,0
163,2,65,87,0
164,2,66,67,0
165,2,66,68,0
166,2,66,82,0
167,2,66,83,0
168,2,66,87,0
169,2,68,69,0
170,2,69,70,0
171,2,69,93,0
172,2,70,71,0
173,2,71,72,0
174,2,72,77,0
175,2,72,78,0
176,2,72,79,0
177,2,73,74,0
178,2,73,75,0
179,2,73,76,0
180,2,73,77,0
181,2,73,80,0
182,2,73,81,0
183,2,73,89,0
184,2,74,75,0
185,2,74,81,0
186,2,74,89,0
187,2,75,76,0
188,2,75,81,0
189,2,76,77,0
190,2,76,80,0
191,2,76,81,0
192,2,76,82,0
193,2,77,80,0
194,2,78,79,0
195,2,80,81,0
196,2,80,82,0
197,2,80,83,0
198,2,82,86,0
199,2,85,86,0
200,2,86,87,0
201,2,87,88,0
202,2,89,90,0
203,2,89,91,0
204,2,89,97,0
205,2,90,91,0
206,2,90,96,0
207,2,90,98,0
208,2,93,94,0
209,1,94,95,0
210,1,95,96,0
211,2,97,98,0
