,Gene A,Gene B,Activation/Repression,delta,Motif #0,Motif #1,Motif #2,Motif #4
0,1,2,1,0,1,1,0,1
1,1,9,2,0,0,0,1,1
2,1,17,2,0,1,0,1,1
3,2,3,1,0,1,1,0,0
4,2,9,2,0,1,1,1,1
5,3,49,2,0,0,1,0,0
6,4,5,2,0,0,1,0,1
7,4,42,2,0,0,0,1,1
8,5,6,2,0,1,1,0,1
9,5,9,2,0,1,1,1,1
10,5,17,2,0,1,1,1,1
11,5,42,1,0,1,0,0,1
12,6,7,1,0,1,1,0,1
13,6,8,2,0,1,1,0,1
14,6,17,2,0,1,0,1,1
15,6,28,2,0,1,1,1,1
16,6,42,2,0,1,0,1,1
17,7,8,2,0,1,1,0,1
18,7,16,2,0,1,1,1,1
19,7,28,2,0,1,0,1,1
20,7,44,2,0,1,1,0,0
21,8,10,2,0,1,1,0,1
22,8,11,2,0,1,1,0,1
23,8,14,2,0,1,1,1,1
24,8,16,2,0,1,1,1,1
25,8,18,2,0,1,1,1,1
26,8,19,2,0,1,1,0,1
27,8,28,2,0,1,0,1,1
28,9,17,2,0,0,1,1,1
29,10,11,1,0,1,0,0,1
30,10,12,2,0,1,1,0,1
31,10,13,2,0,1,1,0,1
32,10,14,2,0,1,1,0,1
33,10,17,2,0,1,1,1,0
34,10,18,2,0,1,1,1,1
35,11,12,2,0,0,1,0,1
36,11,18,2,0,0,1,1,1
37,12,13,2,0,0,1,0,1
38,12,14,2,0,0,1,1,1
39,12,18,2,0,0,1,1,1
40,13,14,2,0,0,1,1,1
41,13,15,2,0,1,1,0,1
42,13,16,2,0,0,1,1,1
43,13,18,2,0,1,1,1,1
44,13,32,2,0,1,1,0,1
45,14,15,1,0,1,1,0,1
46,14,16,2,0,1,1,1,1
47,14,18,2,0,1,1,1,1
48,14,32,1,0,1,1,0,1
49,14,36,2,0,1,1,0,1
50,15,16,2,0,1,1,1,1
51,15,32,2,0,1,0,0,1
52,15,36,2,0,1,1,0,1
53,15,37,2,0,1,1,0,1
54,16,17,2,0,1,1,1,0
55,16,18,2,0,1,1,1,1
56,16,32,2,0,1,1,0,1
57,16,33,2,0,1,1,0,0
58,16,37,2,0,1,1,0,1
59,18,19,2,0,0,1,0,1
60,19,20,2,0,0,1,0,1
61,19,43,2,0,0,1,0,1
62,20,21,2,0,1,1,0,0
63,20,43,2,0,1,0,0,1
64,21,22,2,0,0,1,0,0
65,22,27,2,0,1,1,0,0
66,22,28,2,0,1,1,1,0
67,22,29,2,0,1,1,0,0
68,23,24,2,0,1,0,0,0
69,23,25,2,0,1,0,0,0
